tweet_author_screen_name,tweet_author_user_id
MarkSto84486353,1518785043186999298
MarkThompson177,718455334470348800
matters_hi18855,1697947681807810560
MATTHATTER1971,1586075200336060422
Mattityahu777,954397562
maxbiaggiii,3303948936
meholff,1049560267733049344
mgtowrlz,1348324827287973889
miami305israel,1711172276115189761
Michael93112725,1650574410657693697
michelleobam76,1234142583917600768
Mike45588067,962776692484816896
MMP1081,1338189847324991490
Moodyman2023,1711047105509236736
MrBadExample15,1585999168010702849
mrbigcog,1325350021257179137
MrNeoTheOne,936351006245380096
Mullin1T,1544735905402892288
Mutyabax,263526245
Nasyonalist_,964470496782888965
NateThomas1990,1599784475545595904
nathtapas,1590350220
NationNormie3,1463635603065487361
nayrb_s,1406002566522019840
NBfromLB,307913758
ND37Dakota,898712693875593224
NEWHAMPSHIREPR1,1529527078567165952
Nick34392450,1529466870646046723
NorthBritannia,1570469079751729153
number1_usa,1235294045087453184
oldkentroad69,1478830667660238852
OnlyTrolling,1012767497538322432
oOoShmackoOo,1627425042165276674
painkiller,5022631
PajaKV1986,2657433042
ParminedesCheez,1628240761568526336
Paselli,59523815
PattyJbp95532,1466576521854734337
pauljayanta1,1074242293
Peasent_Surf_Co,1596617010963619841
Pewbicle,1658395634930708481
PilotPointUSA,1383804356022005770
PLVS_VLTRA_,1684256866623459329
policeGaw,1607783494150721544
poop12837383742,1690651158505820160
PopsRWB,26519792
Pouya666,1943085452
Pr1nceOfRavens,1609646248591781888
primej56,1463262535117770756
primotrainer,2408940025
PrimusSparky,1542224206980595712
princestmichael,2187911828
ProfWBrew81538,1678087014288113674
PsiOps70,1460820930675019776
PUNITVadoliya2,1569564229530980352
quotesnail,1462699386270404609
RaghuSanathana,1626527417392066562
RAKAXll_268,1711227104199843840
ralphreese20,1586851119376080896
RamArya05318134,1512741560005189632
Rando19601,1598404944251555840
randy24049,1656078599680856064
rational_90,35094677
ravisngh01,1019400912
RayStone697709,1703778134523322368
razingarizona,15388864
Razorsharp_09,1387836485601140736
realmrzz,334952509
reed17667,1656080123161092097
RemqueTheDude,1672634205501620228
ReshatKryeziu4,1546065154940469249
ReturnToMonke99,1121297668012163072
RichardNoogin,1565679241039032321
richcrf450rr,1516516946
rickramliarmsm,886568547438256129
RioHowarth,1663530750199595008
RobertFrascati9,1469667793750605828
Rock29850041,1160918444658716672
rogue_man68287,1668297772188020748
rogueparliament,1453255448887451648
RoNaLdAs88,3682966456
RonCyr5,1518224147079389185
roy_hirakesh,1534136002624663552
Royrichard24Roy,3037296044
RSharpexx,1321157722998452225
rumpole57,3085431662
ruthfyoung,2873185587
saht_armoz,1578278658938109953
sajunai29786837,1648373730400407553
SallyWamp1957,738800499659530240
SamAdams1776USA,1708876404752863232
Sami_1867,1344484367440216065
saullira349,1593672435294928898
Saurbhkr2022,1535466792612552704
shakal_l,1367873822
sharonwnc1,1586140157257940999
ShaunLeo585655,1689647180414685185
Shoshi29805804,1243282101417410561
Shubhamgurjar93,1599311808380403712
simple_re,76038029
sithole_josphat,817625536440705024
sotorini,447387825
sparty8607,832348758960697344
sportaholic420,1667372290429054978
stackpoole,16392327
Statensfiende,820305130599788555
stellamydog,37037561
StephanP62,1708363439016497152
Stephen3453755,984955205082144768
stevehunde,1629291260921151490
steven_gai93670,1640840295464984576
stormcapitol,1677429223093334021
Sunilagrawalinv,1687431036408332288
SusanScandone,728016097778257925
SVolchan,1427756794823290883
TedJ0615,1512994109237039104
tenhag22,1528000411285737472
that_Fukin_guy,1562406059440230401
The300thSpartan,82987044
THE_GVMike,1594097651691229184
ThePastyBeast,1678761926
theQuriouso,1581370790221557760
TheRealJoeFL65,1587926490099945472
TheTNVet,1547611853223710720
thorsen_jo98113,1714335562130472960
THPrimeMover,1679875346412486664
time1955,1586627502176456706
TimmmyTommm,1646387709101977600
tintinuk_orig,1006925555466407936
tmkphx21,1518944160555970561
ToddLegg565052,1665454510100062209
ToniKelly1960,1514300762347782149
Tony16552556,1574862990934941720
TonyinBethlehem,1696495808042934272
TrainMog,1573099964900712448
Tweet2Cat,1295584669790900228
TweetieTRNJ,963939393215090689
TXGoatMan5,1712683593149911040
txutid,1501610974318514180
UltraMagaGirl,1519673685803687939
V6662077,1682704962688524290
vermontnative1,1580567251396268035
vitalricker,1520005611072720896
vtjtm,1164100525
WandererDaoist,1416761064667062272
WardIsom2,1607821239015571458
WaybackGreg1,1590176364648357888
waylensgranny,1587088307246469121
Wayne61L,1597324744096882688
wegerken,1707111691740229632
WendellinWA,1585811807054495745
westsouth1234,1636392329274703872
wetsoxsbiden,1545608217211899911
WilsonianPhil,1519110199499534337
wolfianrussell,1599910918371958784
WonderouslyWise,2400395730
World_gone_mad1,815692556055052288
yag412,1327283723528593408
YarnellMartin,1007751415794683904
ycsyccuya1,1625896005857161226
Zee_Stocks,1462924945797750792
zman43615399,1232026320030359556
